Line,Roche-Mahdi (2007) OF Edition,Psaki (1991) Translation,Roche-Mahdi (2007) Translation,Word Order Priority Translation,My Translation,Notes,Sound Priority Translation,Sound Priority Translation Notes
2502,"Dist li: “Chi a estrange coze,","She told him, “Here is a strange thing,","She said to her, “This is a fine state of affairs,",,"She said to him: “What a strange case,",,"She said to him: ""How strange, pray,",
2503,"Ki te deduis al fuer de malle,","that you behave like a boy,","you conducting yourself like a man,",,"that you play at being a male,",,"that you play at being a male,",
2504,"Et vas si al vent et al halle,","going out in the wind and the sun,",running about in the wind and scorching sun,,"and go out in the wind and the broiling sun,",,"and go out in the wind and the hail,","""Halle"" is really refering to the heat of the sun, but ""hail"" has been substituted here for the sake of the rhyme."
2505,Car une speciäl forme ai,when I had a special mold from which,"when I used a special mold for you,",,when I had a special frame,,when I had a special mold,
2506,Dont a mes .ii. mains te formai.,I formed you with my own two hands.,"when I created you with my own hands,",which with my own two hands I formed you.,with which I formed you with my [own] two hands.,,with which my own two hands you I did mold.,
2507,Et la bialtet qu’ai tant celé[e],And the beauty I saved up for so long,when I heaped all the beauty I had stored up,,And the beauty that I had so sealed away,"I am using ""seal"" in Nature's speech because it combines the actions of storing and concealing (as one might in a cellar) with the sealing of a legal agreement. Maintaining Silence's body as male is what seals the deal of her inheritance. This also supports Nature's use of the word ""scel"" in verse 2516.",And the beauty I had so concealed,
2508,Ai tolte en toi amoncelee.,I concentrated all in you.,upon you alone!,all of it in you I had accumulated.,all of it I had accumulated in you.,,all of it in you I had it sealed,
2509,.m. gens me tienent por escarse,A thousand people consider me stingy,There are a thousand people who think I’m stingy,,A thousand people take me for a miser,,A thousand people take me for a miser,
2510,"Por la bialté, dont tu iés farse;","in beauty, of which you are full;","because of the beauty I stuffed you with,",,for the beauty I stuffed you with;,"""Farse"" (or ""farce"") can refer to an absurdity, or in a culinary sense, it can also refer to stuffing. Here we can see a double meaning as Nature sees Silence making a mockery of her own substance so carefully prepared by Nature.",for the beauty I stuffed inside her;,"This verse should be directed at Silence in the second-person, but I've made it third person for the rhyme."
2511,Car jo ai de .m. gens retraite,"for I withheld beauty from a thousand others,",for I extracted the beauty of a thousand,,for I retained from a thousand people,,for from a thousand people I retained,
2512,"La bialté, dont tu iés refaite.",which I used to make you.,to create your lovely appearance!,,the beauty with which you remain.,,the beauty with which you have remained.,
2513,.m. femes a en ceste vie,There are a thousand women in this life,And there are a thousand women in this world,A thousand women there are in this life,There are a thousand women in this life,,There are a thousand women in this life,
2514,Ki de toi ont moult grant envie,who will greatly desire you,who are madly in love with you,,who covet you so greatly,,who for you are so full of strife,
2515,"Por le bialté qu’eles i voient,","for the beauty they will see in you,",because of the beauty they see in you —,,for the beauty that they see in you;,,for the beauty in you they see;,
2516,Car puet scel estre eles i croient,and because they will think to find in you,you don’t suppose they think something’s there,for maybe sealed there is — they believe —,for they believe there may be sealed there,,for they believe sealed there may be,
2517,Tel cose qu’en toi nen a mie.,something that is not there at all.,that was never part of your equipment at all?,,a certain something that you don’t have at all.,,a certain something that you don't have anyhow.,
2518,Et tels est ore moult t’amie /,"And one woman may be your good friend now,",There are those who love you now,,And some woman who might love you so much now,,And some woman who might love you so much now,
2519,"Qui te haroit de tolt le cuer,",who would hate you with all her heart,who would hate you with all their hearts,,"who would harass you with all her heart,",,"who would harass you with all her heart,",
2520,"Se il de toi savoit le fuer,",if she knew your real nature;,if they knew what you really are!,,if she knew about your lot...,"My use of ""lot"" here is meant to convey the multiple meanings of ""fuer"", which can refer to the price or amount of something as well as to a person's disposition (in this passage alone see also verses 2459, 2503, 2561). ""Lot"" also conveys how Silence's identity as a man is meant to secure a plot of land.",if she knew about your part...,
2521,Qu’el s’en tenroit a malballie,for she would consider herself deceived,"They would consider themselves misused,",,for in this she would count herself maltreated for it;,"Reading around this word ""malballie"" lends itself to some possibilities for sexual innuendo. For example in ""malbaillir"", we have the verb ""baillier"" meaning ""céder la jouissance ou l'exploitation d'un bien pour un prix et une durée fixés par contrat"", and from there we can see ""bailliee"" which refers to ""permission de prendre du bois"".",for in this she would count herself maltreated;,
2522,Que s’esperance estroit fallie.,because her hope failed.,Having their hopes so cruelly dashed.,,she and her aspirations would be crestfallen.,This hypothetical scenario set forward by Nature is almost certainly foreshadowing Eufeme's later attempts on Silence who will herself describe their encounter in economic terms (see verses 3884-8).,she and her aspirations would be defeated.,
2523,"Tu me fais, certes, grant laidure",Certainly you do me great wrong,"It’s a very nasty thing you’re doing to me,",,"You do me, to be sure, an ugly thing","The Matsumura dictionary also offers ""parties génitales"" as a possible use for the word ""laidure."" It may be that Nature is specifically referring to the misuse of her handiwork in that department.","You do me, to be sure, an ugly thing",
2524,Quant tu maintiens tel noreture.,when you follow such an upbringing.,leading this sort of life.,,when you maintain such nurturing.,,when you maintain such nurturing.,
2525,"Ne dois pas en bos converser,","You must not travel the woods,","You have no business going off into the forest,",,"You should not be out in the woods cavorting,","""Converser"" can mean ""demeurer,"" ""fréquenter,"" ""avoir des rapports,"" or ""avoir des relations charnelles"".","You should not be out in the woods hooting,",
2526,"Lancier, ne traire, ne berser.","throw, or shoot, or hunt.","jousting, hunting, shooting off arrows.",,"lancing, nor traipsing, nor shooting.",,"lancing, nor traipsing, nor shooting.",
2527,Tol toi de chi!” cho dist Nature.,Get away from here!” said Nature.,Desist from all of this!” said Nature.,,Get yourself out of here!” so said Nature.,,"Get yourself out of here!"" Naure said so.",
2528,"“Va en la cambre a la costure,","“Stay in the side-chambers,",“Go to a chamber and learn to sew!,,"“Go sew in your chamber,”","We have again a possible double entendre as ""costure"" can refer to sewing or the cultivation of land (a common metaphor for reproduction). I invite the English reader to hear sew/sow in this verse.","""Go in your chamber and sew,""",
2529,Cho violt de nature li us.,for nature demands this!,That’s what Nature’s usage wants of you!,,"This is Nature’s path, custom for him.","Here again we can see desired paths for Silence (see also verses 2474, 2543, and 2614 in this passage). I have pulled this verse out of Nature's speech and given it to the narrator because it feels more natural as an interjected observation coming from the narrator.",Nature desired for him thus:,
2530,Tu nen es pas Scilentius!”,You are not Silentius!”,You are not Silentius!”,,“You are not Silentius!”,,"""You are not Silentius!""",
2531,Et cil respont: “Tel n’oï onques!,"He answered, “I never heard such a thing!","and he replied, “I never hear that before!","And this one responded: ""Such a thing I have never heard!",And this [child] responded: “I never heard such a thing!,,"And this [child] responded: ""Never heard that one before!",
2532,Silencius! qui sui jo donques?,Silentius! Who am I then?,Not Silentius? Who am I then?,,Silentius! Who am I then?,,Silentius! Who am I anymore?,
2533,"Silencius ai non, jo cui,","My name is Silentius, I think,","Silentius is my name, I think,",,"I have the name Silentius, I thought,",,"I have the name Silentius, I thought,",
2534,U jo sui altres que ne fui.,or I am someone else than I was.,or I am other than who I was.,,or I am somebody I wasn’t.,,or I am somebody I was not.,
2535,"Mais cho sai jo bien, par ma destre,","But this I know well, by my right hand,","But this I know well, upon my oath,",,"But well I know, by my right,",,"But well I know, by my birth,",
2536,Que jo ne puis pas altres estre!,that I cannot be any other!,that I cannot be anybody else!,,that I can’t be anybody else!,,that I can't be anyone else on earth!,
2537,"Donques sui jo Scilentius,","So I am Silentius,","Therefore, I am Silentius,",,"So I am Silentius,",,So Silentius am I.,
2538,"Cho m’est avis, u jo sui nus.”","it seems to me, or I am no one.”","As I see it, or I am no one.”",,"it seems to me, or I am nobody.”","Many have called attention to this word ""nus"" as implying nudity as well as negation. I have rendered it as ""nobody"" to call attention to Silence's body, which will be made nude at the end of the narrative.","I think, or I'm nobody.""",
2539,Dont se porpense en lui meïsme,He thought to himself,But then she convinced herself,,Then he reflected on it himself,,Then he himself upon it reflected,
2540,Que Nature li fait sofime:,that Nature was speaking in sophistries;,that Nature’s spurious argument was plausible:,,on the sophistry Nature made him:,,on the sophistry Nature to him projected:,
2541,Por cho que l’-us est encontre us,"because the -us was against natural law,","That because the -us was contrary to usage,",,"That this -us was contrary to custom,",,"That contrary to custom was this -us,",
2542,N’a pas a non Scilentius.,his name was not Silentius.,her name was not Silentius.,,"that his name was not Silentius,",,"that his name was not Silentius,",
2543,Aler en violt a la costure,He wanted to stay in the chamber,"She wanted to go and learn to sew,",,wanting him to go sew,,"wanting him to go into couture,",
2544,"Si com li a rové Nature,","as Nature had entreated him to,",just as Nature demanded of her;,,"just as Nature had raved at him,",,"how she raved at him this Nature,",
2545,"Car por fief, ne por iretage,",because neither for a fief nor an inheritance,she should not cultivate such savage ways,,"that for neither fief nor heritage,",,"that for neither fief nor heritage,",
2546,Ne doit mener us si salvage.,should he keep up such a barbarous usage.,for fief or inheritance.,,he must not manifest a custom so savage.,"Pushing against both Psaki and Roche-Mahdi, I do not think Silence has been convinced by Nature so quickly. In this section, I see Silence mulling over Nature's suggestions without fully accepting them, especially since Nature's discourse is referred to as ""sofime"" (v. 2540).",he must not manifest a custom so savage.,
2547,Atant i sorvint Noreture,"At this point Nurture arrived,",But then Nurture arrived on the scene,,Suddenly there came Nurture,,Suddenly there came Nurture,
2548,Et voit que parole a Nature.,and saw Silence speaking to Nature.,and saw that he was talking to Nature,,who saw that he was talking to Nature.,,who saw that he was talking to Nature.,
2549,"Di li: “Que fais tu, diva, chi?”","She asked him, “Whatever are you doing here?”","and said to him, “Hey! What are you doing here?”",,"She said to him: “Say, what are you doing here?”",,"She said to him: ""What's this I see?""",
2550,Cil dist: “Nature tence a mi.,"He answered, “Nature is quarreling with me.","He said, “Nature is scolding me,","This one said, ""Nature is contending with me.","This [child] said, “Nature is contending with me.",,"This [child] said, ""Nature is contending with me.",
2551,"Et si n’est pas, par foi, a tort","And in faith, it is not wrong","and she’s right, in fact,",,"And so it isn’t, by faith, wrong",,"And so it isn't, by faith, wrong",
2552,Qu’ele m’acostume et amort,for her to show me and acquaint me with,to get me accustomed,,that she accustom and mortify me,,that she accustom me to where I belong,
2553,"A tel us ki est droitureus,","the usage that is lawful,","to appropriate habits,",,"to such customs that are righteous,",,"to such customs that are moral,",
2554,Car cis us n’es pas natureus.,for this one is not natural.,for this behavior is unnatural.,,for this custom is not natural.,,for this custom is not natural.,
2555,"Ainc feme, voir, de mon parage,","Truly, no woman of my lineage","Truly, no woman of my lineage","Never did a woman, see, of my parentage,","See here, never did a woman of my parentage",,"See here, never did a woman of my parentage",
2556,"Ne mena mais si fait usage,","ever led such a life as this,","ever behaved in such a way,",,"ever manifest such a usage,",,"ever manifest such a usage,",
2557,Ne jo plus longhes nel menrai:,nor will I lead it any longer:,nor wil[l] I do so any longer!,,nor will I manifest one any longer:,,nor will I manifest one anymore:,
2558,A us de feme me tenrai.,I will adopt the behavior of a woman.,I will keep to women’s ways.,"As a woman customarily does, I will handle myself.",I will handle myself as a woman customarily does.,,I will handle myself in the way women adore.,
2559,"Jo ne voel pas moi estalcier,","I do not want to cut my hair short,","I won’t cut my hair short any more,",,"I do not want to cut my hair short,",,"I don't want to cut my hair from where it reaches,",The more literal meaning of this verse has been stretched to accomodate the rhyme.
2560,"Fendre mes dras, braies calcier,","disguise my clothing, wear breeches,",wear slit garments and breeches,,"to rip my clothes, to burn my breeches,",,"to rip my clothes, to burn my breeches,",
2561,"Ne mais vivre a fuer de garçon,","nor live like a boy any more,",And live like a boy,,"or live in the manner of a boy,","I want to play with the homophones ""manner"" and ""manor"" here.","or live in the manner of a boy,",
2562,"Prendre mon coivre, et mon arçon.",hunting with bow and quiver.,with bow and quiver.,,with my quiver and my bow.,"""Arçon"" presents many possible interconnected meanings (certainly some sexual innuendos) including ""bow"" as in ""bow and arrow"" or for a musical instrument. ""Arçon"" can also refer to various arcs including the arc of a yoke or the arc of a saddle. And finally ""estre ou monter es arçons"" means to ""faire l'amour"", and ""perdre (les) arçons"" refers to falling from one's horse.",with my quiver and my toy.,The more literal meaning of this verse has been stretched to accomodate the rhyme.
2563,Avint adonques mais a nule?,"It never happened to any woman,",Did anything like this ever happen to anyone?,,"Well, has such a thing ever come to pass for anybody?",,"Well, has such a thing ever come to pass for anybody?",
2564,Nenil! adunc quant jo m’afule,ever! And when I get dressed,"Never! Now, when I get dressed,",,"Never! So, when I clothe myself,",,"Never! So, when I clothe my body,",
2565,Por moi de tel giu a retraire,to withdraw from some game,and don’t participate,I will from such games restrain myself,I will restrain myself from such games,"Godefroy writes that the word ""giu"" (meaning ""jeu"") ""s'employait souvent pour désigner l'acte amoureux"".","from these games, I'll myself withhold",
2566,"Com vallet suelent encor faire, /","such as boys often play,","in the kinds of games that boys are used to,",,as boys still play at thresholds.,"The word ""suelent"" is giving me a lot of trouble. Thorpe, Psaki, and Rochd-Mahdi do not offer guidance on it. In Godefroy, I find the verb ""sueller"" as in ""mettre un seuil à, achever jusqu'au seuil."" Are these amorous games played when young men cross thresholds?",while boys still play at the threshold.,
2567,Dont dient tuit mi compagnon:,"then all my companions say,","all my companions jeer,","Then, will say all my companions:","Then, all my companions will say:",,"Then, all my companions will say:",
2568,‘Cis avra moult le cuer felon,"‘This one will have a treacherous heart,","‘This one will be a terrible coward,",,“This one will have quite the underhanded heart,,"""This one will have quite the underhanded heart one day",
2569,Se il vit longhes entressait.’,if he lives long here and now.’,if he lives that long!’,"if he lives long straightaway.""",if he lives that long.”,,"if he lives that long.""",
2570,Mais ne sevent com moi estait.,But they don’t know how it is with me.,But they don’t know how it is with me.,,But they don’t know how it is with me.,,But what they know of me is wrong.,
2571,Se me desful par aventure,If my garment opens by chance,"Whenever I happen to get undressed,",,If I undress myself for example,"The Matsumura dictionary includes ""par exemple"" as a possible interpretation of ""par aventure"". Here I do not see Silence being afraid of being seen nude exactly. Rather, I see Silence feeling anxiety about the fact that his/her ""nature"" changes simply by the act of undressing.","If I, for example, myself undress,",
